latin,common,image_name,height_code,bloom_code,sun_code,moist_code,cat_code,deer_code,wild_code ,soil_code,wildlife_comments,design_function,gardening_tips,credit_code,region_code
Carya tomentosa (alba?),Mockernut Hickory,logo_785x853.jpg,7,2,5,2,5,6,1,7,"Squirrels, bear, foxes, beavers, and mice feed on nuts and sometimes bark; minor source of food for ducks, quail, and turkey.",,,6,7
Castanea pumila,Allegheny Chinquapin,castanea_pumila.jpg,5,2,2,1,2,6,6,7,"Larval host to Orange-striped Oakworm moth. Squirrels, chipmunks, deer, opossums, blue jays, woodpeckers, grouse, quail, and turkey eat the nuts.",,,5,7
Caulophyllum thalictroides,Blue Cohosh; Common Blue Cohosh,logo_785x853.jpg,2,2,2,4,1,6,3,3,,Woodland garden. ,,6,7
Ceanothus americanus,New Jersey Tea; Redroot,ceanothus_americanus.jpg,2,4,2,1,2,6,24,6,"Rabbit and deer browse,  turkey and quail eat fruit. Summer azure and mottled duskywing butterflies feed on flowers and buds. Larval host to summer azure, mottled duskwing, and spring azure","Erosion control, shrub borders, shrubby ground cover.",,5,7
Celtis occidentalis,Common Hackberry,celtis_occidentalis.jpg,7,2,3,3,5,6,6,6,"Game birds, Bluebird, Flicker, Cardinal, Mockingbird, Evening Grosbeak, Robin, Cedar Waxwing, Titmouse, Flying Squirrel, Squirrel, Fox Squirrel, Raccoon, Rabbits; larval host to wild cherry sphinx, tawny emporer, hackberry emperor, American snout, question mark, and mourning cloak; many moth caterpillars eat foliage including ruddy dagger moth, thin-lined owlet, and small heterocampa.",,,5,7
Cephalanthus occidentalis,Buttonbush,cephalanthus_occidentalis.jpg,4,4,2,5,2,2,25,6," Mallard, Blue Winged Teal, Wood duck, Beaver. Larval host to 19 species of Lepidoptera. 24 species of birds will eat from the seed heads (and eat the caterpillars it hosts too). Buttonbush also attracts numerous nighttime nectar-feeding insects, including moths, as well as occasional hummingbirds during the day (per Alonso Abugattas).",,"Perfect for a low, wet area though may tolerate dry conditions as well. Pruning is usually unnecessary but may be done in early spring to shape. If plants become too large, may be cut back near to the ground to revitalize.",3,7
Cercis canadensis,Eastern Redbud,cercis_canadensis.jpg,5,2,3,3,5,6,22,6,"Various catepillars, Cardinal, various bees; Henry's elfin butterfly utilizes nectar; bobwhite quail and songbirds consume seeds.",Ornamental understory tree. Commercial spaces.,Showy spring display of lavendar flowers. 15-30 feet. Plant young trees - deep tap roots transplants poorly.,5,6
Chamaecrista fasciculata var. fasciculata,Common Partridge Pea,chamaecrista_fasciculata.jpg,2,4,1,1,1,6,21,4,"Major food for bobwhite and quail throughout winter; also consumed by other pheasants, mallards, and mice; provides cover for waterfowl, other birds, and small mammals; common sulfur butterfly lays eggs on it and caterpillars eat the leaves; larval host to orange sulphur and sleepy orange ",,Showy annual. Self-seeds. May be difficult to find for sale. ,3,7
Chelone glabra,White Turtlehead,chelone_glabra.jpg,2,6,3,5,1,5,18,6,Larval host for Baltimore checkerspot butterfly.  , Border. ,,1,7
Chimaphila maculata,Spotted Wintergreen; Striped Wintergreen;,chimaphila_maculata.jpg,1,3,5,1,1,6,30,6," Black bear, white footed mouse.  ","Woodland garden, ground cover.  ", Evergreen subshrub. Hard to establish. ,5,7
Chimaphila umbellata,Umbellate Wintergreen; Pipsissewa,logo_785x853.jpg,1,4,6,2,1,6,30,6,,, Evergreen subshrub. Hard to establish. May be hard to find for sale. ,6,7
Chionanthus virginicus,Fringe Tree; Old Mans Beard,chionanthus_virginicus.jpg,5,3,3,2,5,6,1,7,Larval host to rustic sphinx moth.,Ornamental understory tree. Commercial spaces.,"One of the last trees to leaf out in the spring. Slow grower. Drooping clusters of delicate, fragrant white blossoms. ",5,6
Chrysogonum virginianum,green and gold,chrysogonum_virginiana.jpg,1,3,3,2,1,6,1,3,,Ground cover.,"Excellent, very short ground cover, spreads well, easily transplanted. Long-blooming yellow flowers. Bright green leaves lighten the shade.",1,7
Chrysopsis mariana,Maryland Golden-aster,chrysopsis_mariana.jpg,2,5,2,1,1,6,20,4,,"Rock gardens, xeriscaping, borders, meadows. Wild gardens.  ",Short lived perennial but reseeds. ,5,7
Claytonia virginica,Virginia Spring Beauty,claytonia_virginica.jpg,1,2,5,2,1,4,13,4, Mice and chipmunks eat the plants. ,Mix in a lawn. ,"Tiny flowers, can form colonies. Plants go dormant after blooming. Spectacular in large patches.",5,7
Clematis virginiana,Virgin-bower,logo_785x853.jpg,5,5,3,5,3,6,25,6,,Fence cover.,"Spreads quickly and will dominate the area. This plant is poisonous and can cause skin irritation if touched. If burned, the smoke is toxic.  May be pruned at any time during the growing season.",6,7
Clitoria mariana,Butterfly Pea; Maryland Butterfly Pea,logo_785x853.jpg,3,4,2,1,1,6,1,4,,,May be hard to find for sale. ,6,7
Conoclinium coelestinium,Mistflower; Ageratum,conoclinium_coelestinum.jpg,2,6,5,3,1,6,4,5,,Border. Ground cover., Very assertive. ,6,7
Coreopsis verticillata,Whorled Coreopsis; Threadleaf Coreopsis,coreopsis_verticillata.jpg,2,3,2,1,1,1,4,3,, Border. , Moonbeam cultivar is sterile (will not self seed) and is very long-blooming. Nice mounded shape when mature. Spreads slowly by rhizomes.,1,7
Cornus amomum,Silky Dogwood,logo_785x853.jpg,4,3,2,5,2,6,1,6,"The Cornus genus is known to host about 118 species of Lepidoptera and over a dozen beetles. The drupes (fruits) are a vital food source for birds and some 98 species are known to eat them, as well as at least 16 mammal species, per Alonso Abugattas.",Commercial spaces.,Tolerates wet conditions.,6,7
Cornus florida,Flowering Dogwood,cornus_florida.jpg,5,2,4,2,5,6,22,3,"Woodpeckers, pheasants, songbirds, squirrel, rabbits, and chipmunks eat various parts; larval host to spring azure.",Ornamental understory tree. Commercial spaces.,"Virginia's state tree. 20 - 50 feet. Blooms in mid spring. More resistant to dogwood anthracnose fungus if planted in open areas, but if planted in full sun, it will need to be watered in extended dry spells.",5,6
Crataegus crus-galli,Cockspur Hawthorn,crataegus_crus_galli.jpg,6,3,2,2,2,6,6,6,"Hawthorns in general: More than 39 bird species have been seen eating the fruits (botanically pomes, but called ""haws"" colloquially), even more eat the more than 168 Lepidoptera species that feed on this genus as caterpillars. ",Hedge. Winter interest.,"20-35 feet. Flowering tree, long-lasting fruits. Horizontal thorny branches sweep the ground. Diseases can be problematic with hawthorns.",5,7
Decumaria barbara,Climbing Hydrangea; Woodvamp,decumaria_barbara.jpg,5,4,5,4,3,6,13,1,,ground cover. Cover for ledges and rock outcroppings. ,Evergreen. Will only bloom when climbing and on new wood. Deer resistant.,5,7
Dicentra cucullaria,Dutchmans Breeches,dicentra_cucullaria.jpg,2,2,5,4,1,6,13,7,, Woodland garden. ,Goes dormant after blooming.,5,3
Dicentra eximia,Wild Bleeding Heart,dicentra_eximia.jpg,2,3,5,5,1,1,3,3, Woodland garden.,Border.,May re-bloom throughout the summer. Naturalizes by reseeding when happy. Dislikes wet soils in winter and dry soils in summer. ,1,3
Dichanthelium clandestinum,Deer-Tongue Grass,dichanthelium_clandestinum.jpg,2,4,2,3,6,6,23,6,,,,5,7
Diospyros virginiana,Common or American Persimmon,diospyros_virginiana.jpg,6,3,4,5,5,3,22,5,"Fruit, leaves, buds are eaten by many birds and mammals including squirrels, foxes, opossums, and raccoons.  Forty-six different species of caterpillars have been documented feeding on them.",Edible fruit.,15 - 100 feet. Fruit is not edible until made very mushy by being exposed to frost or consistent low temperatures.,5,6
Dryopteris carthusiana,Spinulose Wood Fern,logo_785x853.jpg,2,1,5,2,4,6,5,3,,Evergreen. Clumping.,,6,7
Dryopteris intermedia,Evergreen Wood Fern; Intermediate Wood Fern,logo_785x853.jpg,2,1,5,3,4,6,30,3,,Evergreen. Clumping.,,6,7
Dryopteris marginalis,Marginal Wood Fern; Evergreen Shield Fern,logo_785x853.jpg,2,1,5,2,4,6,30,6,Provides cover for toads and lizards,Evergreen. Clumping.,,6,3
Elymus hystrix,Bottlebrush Grass,elymus_hystrix.jpg,2,6,3,5,6,6,22,3,,,,6,7
Elymus virginicus,Virginia Wild Rye,elymus_virginicus.jpg,3,4,5,2,6,6,17,6,,,,5,7
Equisetum hyemale,Tall Scouring Rush; Scouring Horestail,equisetum_hyemale.jpg,2,1,3,6,1,6,4,6,"Provides cover for wetland birds, small mammals, reptiles, amphibians, etc. ", Pond or border. Strong vertical accent., Spreads underground aggressively. Good for containers. Highly resistant to deer.,1,7
Eragrostis spectabilis,Purple Love Grass,eragrostis_spectabilis.jpg,1,5,1,4,6,2,23,4,,Edging.,"When grown en masse, this delicate grass creates a lovely purple cloud-like haze in late summer. In the late fall, the stems of the flowers fall and blow in the wind, like a tumble grass. Drought tolerant. ",1,7
Erigeron pulchellis,Robins Plantain,logo_785x853.jpg,1,3,4,2,1,6,14,7,,,,6,7
Eubotrys racemosus,Fetterbush; Swamp Dog Hobble,eubotrys_racemosa.jpg,4,3,5,5,2,6,30,6,,Naturalizing. Border with taller plants. Shady streambank stabilization.,"In full sun, Fetterbush has purplish foliage in the fall. Protect from winter wind. ",5,7
Euonymus americanus,Strawberry-bush; heart-a-bustin,logo_785x853.jpg,3,3,3,5,2,5,1,6,Turkey and songbirds occasionally eat seeds. Hosts 11 species of Lepidoptera.,A beautiful alternative to the invasive Burning Bush.,"Very shade tolerant, prefers moist conditions. A favorite of deer. Versatile, carefree shrub that is remarkably free of any disease or insect problem.",6,7
Eupatorium hyssopifolium,Hyssop-leaved Thoroughwort,logo_785x853.jpg,2,5,2,2,1,6,17,4,," Rain garden, meadow, winter interest.",,6,7
Eupatorium perfoliatum,Boneset; Common Boneset,eupatorium_perfoliatum.jpg,3,6,3,5,1,6,20,6,Swamp sparrow eats seeds.  ," Border, meadow.  ", Self-seeds.  ,5,7
Eurybia divaricata,White Wood Aster,eurybia_divaricata.jpg,2,6,6,2,1,6,13,6,,Wood's edge or woodland garden.  , Very shade tolerant. Spreads aggressively. Lovely in masses.,1,3
Euthamia graminifolia,Flat-top Goldenrod,euthamia_graminifolia.jpg,2,5,1,4,1,6,21,1,"Goldfinch, swamp sparrow, and rabbits eat seeds.  ",,"Drought tolerant, but may spread aggressively in moist sunny places.  ",5,7
Eutrochium dubium,Joe-pye-weed (Little Joe),eutrochium_dubium.jpg,3,5,2,5,1,6,14,1," Huge magnet for butterflies, bees, and beetles  ",This is a shorter species of Joe-Pye more suitable for most gardens. ,"Flower heads do not rebloom, so leave spent flowers in place to go to seed.",1,4
Eutrochium fistulosum,Joe-pye-weed,eutrochium_fistulosum.jpg,3,5,3,5,1,3,11,5,,"Border, pollinator garden. ","They are best used as a background plant. Cut back sharply around July 4th
or when they get a couple of feet tall to keep them bushier and increase blooms. Tolerates light shade.   ",6,7
Fagus grandifolia,American Beech,fagus_grandifolia.jpg,7,2,3,4,5,6,5,7,"Ruffed grouse, raccoon, squirrel, deer, opposum,food plant for several species of butterfly larva, fox;  larval host to early hairstreak butterfly.",Specimen. Commercial spaces.,,5,6
Fragaria virginiana,Wild Strawberry,fragraria_virginica.jpg,1,3,4,2,1,4,14,6,"Larval host to grizzled skipper and gray hairstreak (and 81 total species of Lepidoptera); fruit eaten by opossum, skunk, chipmunk, mice, box turtles, and wood turtles; foliage eaten by squirrels, groundhog, and voles ", Groundcover. Erosion control. ,,6,7
Gaultheria procumbens,Wintergreen; Teaberry,gaultheria_procumbens.jpg,2,4,5,1,2,6,1,7,"Chipmunks, grouse, turkeys, bobwhite, black bear, squirrels, red fox, mice, and birds eat wintergreen.","Shady ground cover, woodland gardens, foundation plantings. Four season interest.","Evergreen. Oblong leathery leaves have a distinct wintergreen scent when crushed.  Lovely winter color. Low-growing habit and creeping underground stems form small colonies. Bright-red, showy berries that persist through winter.",5,7
Gaylussacia baccata,Black Huckleberry,gaylussacia_baccata.jpg,2,3,5,3,2,6,20,6,"Bears. Raccoons, various songbirds, Grouse. Provides protective cover for small animals.",Low thicket.,Self fruiting but more productive if there are two or more.,5,7
Gelsemium sempervirens,Yellow Jessamine,gelsemium_sempervirens.jpg,5,2,2,2,3,2,26,6,,Evergreen.,"Needs a trellis. Heat and cold tolerant. Will climb trees, scramble over fences and structures, or develop a mound of tangled stems if left to its own devices. ",5,7
Gentiana clausa,Bottle Gentian; Closed Gentian,gentiana_clausa.jpg,2,5,4,5,1,6,3,3,,,Slow-growing but long-lived. Great blue color.  ,1,7
Geranium maculatum,Wild Geranium; Spotted geranium,geranium_maculata.jpg,2,2,2,2,1,4,20,3,"Host to 21 species of Lepidoptera. Mourning Dove, Bobwhite Quail, chipmunk.  ", Border. Possibly a groundcover.  ,"Spreads by rhizomes to form colonies.  Long bloom, mid to late spring. Needs moisture if sited in full sun.",7,6
Goodyera pubescens,Downy Rattlesnake-plantain,goodyera_pubescens.jpg,1,5,4,2,1,6,19,6," Ruffed Grouse, Rabbit, Cardinal ",Woodland garden  ,,5,7
Hamamelis virginiana,Witch Hazel,hamamelis_virginiana.jpg,5,7,3,4,2,4,1,6,Birds and small mammals eat the fruits (small brown capsules). Browsed by beavers. Sixty-three species of caterpillars have been found to feed on it. ,Fall and winter interest.,Brilliant yellow fall foliage followed by fragrant yellow flowers in November. ,1,7
Helenium autumnale,Common Sneezeweed,helenium_autumnale.jpg,3,6,3,4,1,6,14,6,,Rain garden  ,,5,7
Helianthus angustifolius,Narrow-leaved Sunflower,logo_785x853.jpg,3,6,4,5,1,5,13,7,,Backdrop to other perennials. Bogs. Ponds.,Long fall bloom time.,6,4
Helianthus divaricatus,Woodland Sunflower; Spreading Sunflower,helianthus_divaricatus.jpg,3,5,4,2,1,6,21,4," Bobwhite, Goldfinch, mourning dove, and tufted titmouse eat seeds; squirrels, voles, and mice also eat seeds; cottontails browse foliage; also provide ground cover for small animals. ",Woodland garden.  , Long bloomer. May be too aggressive in a small garden.  ,5,7
Helianthus tuberosus,Jerusalem Artichoke,logo_785x853.jpg,4,6,1,2,1,6,14,6,,,Tends to flop.,6,7
Heliopsis helianthoides,Oxeye; Smooth Oxeye; Oxeye Sunflower,heliopsis_helianthoides.jpg,3,5,2,2,1,6,25,7,Ground nesting bee (Holcopasites heliopis) is a specialist.  ,,"Self-seeding can be avoided by only buying one plant, as they are self-sterile. Plant stems may be cut back by 1/3 to 1/2 in late May to reduce overall plant height.",5,7
Hepatica nobilis v. obtusa,Round-lobed Hepatica,hepatica_nobilis.jpg,1,2,5,2,1,6,3,7,,"Woodland garden, shady rock garden.  ",,1,7
Heuchera americana,American Alumroot,heuchera_americana.jpg,2,3,5,1,1,1,3,7,,"Ground cover, rock garden, shade border.",Blooms mid to late spring. Interesting foliage.,1,7
Hexastylis virginica,Wild Ginger; Virginia Heartleaf,logo_785x853.jpg,1,2,6,4,1,6,30,3,, Woodland garden.  ,,6,7
Hibiscus moscheutos,Swamp or Eastern Rose-mallow,hibiscus_moscheutos.jpg,3,4,2,5,1,1,28,6,Rose Mallow bee is specialist of Hibiscus species. , Rain garden.  ,Attracts Japanese beetles. Clumps start to grow late in the season and flower over a long period in late summer. Easily grown from seed. Seeds are ready to collect when they are dark brown.,5,7
Houstonia caerulea,Common Bluets; Azur Bluets; Quaker Ladies,houstonia_caerulea.jpg,1,3,2,4,1,6,21,1,"Juncos, Meadow Fritillary, Houstonia spp. are hosts for Spotted Thyris moths.  ",,Tiny flowers in mid spring - plant in mass.  ,5,7
Hydrangea arborescens,Wild Hydrangea; Smooth Hydrangea,hydrangea_arborescens.jpg,3,4,5,4,2,6,15,7,Larval host to Hydrangea sphinx (Darapsa versicolor).,Shade garden. Commercial spaces. Erosion control. Foundation plantings.,"Spreads freely by suckers. Fast-growing and short-lived, this hydrangea is often treated as a perennial and cut to the ground every winter. Very effective in mass plantins. Can grow in areas of poor drainage.",1,7
Hypericum prolificum,Shrubby St. Johns Wort,hypericum_prolificum.jpg,3,4,5,2,2,6,3,6,Larval host to 20 species of Lepidoptera.,Commercial spaces. Erosion control.,"A very adaptable shrub, taking partial shade and tolerant of different soil conditions.",5,7
Ilex decidua,Deciduous Holly; Possum-haw,ilex_decidua.jpg,5,3,2,4,2,6,19,6,"Opossums, raccoons, other mammals, songbirds, and gamebirds eat the fruit.","Hedge, rain garden.",,5,7
Ilex opaca,American Holly,ilex_opaca.jpg,6,3,3,2,5,1,15,5,"In late winter, many kinds of songbirds, game birds, mammals, and eastern box turtle eat the bitter berries of this slow-growing but long-lived tree. Larval host to Henrys Elfin butterfly and a total of 39 species of Lepidoptera.",Evergreen. Specimen. Commercial spaces. Winter interest. Tall hedge.,15-40 feet. Female trees have the berries; a male tree must be within 200 feet. ,1,6
